table_name,column_name
AF_Delinquency,PaymentPlan
AF_Delinquency,Visibility
AF_Delinquency,appfolio_collection
AF_Delinquency,last_synced
AF_Delinquency,created_at
AF_Delinquency,MoveIn
AF_Delinquency,UnitName
AF_DepositRegister,id
AF_DepositRegister,DepositNumber
AF_DepositRegister,ReceiptDate
AF_DepositRegister,Payer
AF_DepositRegister,PropertyName
AF_DepositRegister,Type
AF_DepositRegister,Reference
AF_DepositRegister,Description
AF_DepositRegister,DepositAmount
AF_DepositRegister,ReceiptAmount
AF_DepositRegister,Cleared
AF_DepositRegister,ReceiptDescription
AF_DepositRegister,UnitName
AF_DepositRegister,TxnId
AF_DepositRegister,PropertyId
AF_DepositRegister,UnitId
AF_DepositRegister,appfolio_collection
AF_DepositRegister,last_synced
AF_DepositRegister,created_at
AF_GeneralLedger,id
AF_GeneralLedger,GlAccountName
AF_GeneralLedger,Property
AF_GeneralLedger,PropertyName
AF_GeneralLedger,PropertyId
AF_GeneralLedger,PropertyIntegrationId
AF_GeneralLedger,PropertyAddress
AF_GeneralLedger,PropertyStreet1
AF_GeneralLedger,PropertyStreet2
AF_GeneralLedger,PropertyCity
AF_GeneralLedger,PropertyState
AF_GeneralLedger,PropertyZip
AF_GeneralLedger,Unit
AF_GeneralLedger,PostDate
AF_GeneralLedger,Month
AF_GeneralLedger,Quarter
AF_GeneralLedger,Year
AF_GeneralLedger,PartyName
AF_GeneralLedger,Type
AF_GeneralLedger,Reference
AF_GeneralLedger,Debit
AF_GeneralLedger,Credit
AF_GeneralLedger,BankAccount
AF_GeneralLedger,Balance
AF_GeneralLedger,TxnCreatedAt
AF_GeneralLedger,TxnUpdatedAt
AF_GeneralLedger,InvoiceUpdatedAt
AF_GeneralLedger,AccountUpdatedAt
AF_GeneralLedger,CreatedBy
AF_GeneralLedger,Remarks
AF_GeneralLedger,Description
AF_GeneralLedger,DepositDate
AF_GeneralLedger,DepositNumber
AF_GeneralLedger,CashAccount
AF_GeneralLedger,IntercompanyPartyName
AF_GeneralLedger,AccountNumber
AF_GeneralLedger,ServiceFrom
AF_GeneralLedger,ServiceTo
AF_GeneralLedger,Project
AF_GeneralLedger,ProjectId
AF_GeneralLedger,ReceivableInvoiceDetailID
AF_GeneralLedger,TxnDetailIntegrationId
AF_GeneralLedger,GlAccountIntegrationId
AF_GeneralLedger,UnitIntegrationId
AF_GeneralLedger,TxnIntegrationId
AF_GeneralLedger,PartyId
AF_GeneralLedger,PartyType
AF_GeneralLedger,TxnId
AF_GeneralLedger,TxnDetailId
AF_GeneralLedger,UnitId
AF_GeneralLedger,GlAccountId
AF_GeneralLedger,IntercompanyPartyId
AF_GeneralLedger,appfolio_collection
AF_GeneralLedger,last_synced
AF_GeneralLedger,created_at
AF_GeneralLedger,UnitName
AF_GrossPotentialRent,id
AF_GrossPotentialRent,Property
AF_GrossPotentialRent,PropertyName
AF_GrossPotentialRent,PropertyId
AF_GrossPotentialRent,PropertyAddress
AF_GrossPotentialRent,PropertyStreet1
AF_GrossPotentialRent,PropertyStreet2
AF_GrossPotentialRent,PropertyCity
AF_GrossPotentialRent,PropertyState
AF_GrossPotentialRent,PropertyZip
AF_GrossPotentialRent,Unit
AF_GrossPotentialRent,UnitTags
AF_GrossPotentialRent,UnitType
AF_GrossPotentialRent,BdBa
AF_GrossPotentialRent,Tenant
AF_GrossPotentialRent,GrossPotentialRent
AF_GrossPotentialRent,LossToMarket
AF_GrossPotentialRent,MonthlyRent
AF_GrossPotentialRent,Concessions
AF_GrossPotentialRent,VacancyLoss
AF_GrossPotentialRent,ModelLoss
AF_GrossPotentialRent,RenovationLoss
